,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
驻马店,139,0,139,0,0,,,,
商丘,91,0,88,3,0,,,,
周口,76,0,75,1,0,,,,
平顶山,58,0,57,1,0,,,,
新乡,57,0,54,3,0,,,,
安阳,53,0,53,0,0,,,,
许昌,39,0,38,1,0,,,,
漯河,36,0,36,0,0,,,,
焦作,32,0,31,1,0,,,,
洛阳,31,0,30,1,0,,,,
境外输入,30,0,27,0,0,,,,
开封,26,0,26,0,0,,,,
鹤壁,19,0,19,0,0,,,,
濮阳,17,0,17,0,0,,,,
三门峡,7,0,6,1,0,,,,
济源示范区,5,0,5,0,0,,,,
济源,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
北京,1036,0,977,9,0,0.0,442.0,0.0,392.0
丰台,273,0,273,0,0,,230.0,0.0,230.0
境外输入,208,0,200,0,0,,,,26.0
大兴,134,0,104,0,0,,95.0,0.0,65.0
大兴区,121,0,104,0,0,,,,
海淀,82,0,82,0,0,,18.0,0.0,18.0
朝阳,80,0,77,0,0,,5.0,0.0,2.0
西城,59,0,59,0,0,,6.0,0.0,6.0
顺义,45,0,11,0,0,,35.0,0.0,1.0
昌平,30,0,30,0,0,,1.0,0.0,1.0
外地来京,25,0,25,0,0,,0.0,0.0,0.0
通州,20,0,11,9,0,,1.0,9.0,1.0
房山,20,0,20,0,0,,4.0,0.0,4.0
东城,19,0,19,0,0,,5.0,0.0,5.0
石景山,15,0,15,0,0,,1.0,0.0,1.0
怀柔,8,0,7,0,0,,1.0,0.0,0.0
密云,7,0,7,0,0,,0.0,0.0,0.0
未明确地区,5,0,31,0,0,,4.0,-9.0,30.0
门头沟,5,0,5,0,0,,2.0,0.0,2.0
延庆,1,0,1,0,0,,0.0,0.0,0.0
平谷,0,0,0,0,0,,0.0,0.0,0.0
境外输入人员,0,0,0,0,0,,-174.0,0.0,0.0
湖南,1031,0,1017,4,0,0.0,,,
长沙,242,0,240,2,0,,,,
岳阳,156,0,155,1,0,,,,
邵阳,102,0,101,1,0,,,,
常德,82,0,82,0,0,,,,
株洲,80,0,80,0,0,,,,
娄底,76,0,76,0,0,,,,
益阳,60,0,60,0,0,,,,
衡阳,48,0,48,0,0,,,,
永州,44,0,44,0,0,,,,
怀化,40,0,40,0,0,,,,
郴州,39,0,39,0,0,,,,
湘潭,36,0,36,0,0,,,,
境外输入,13,0,3,0,0,,,,
湘西自治州,8,0,8,0,0,,,,
张家界,5,0,5,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
安徽,994,0,987,6,0,0.0,,,
合肥,174,0,173,1,0,,,,
蚌埠,160,0,155,5,0,,,,
阜阳,156,0,156,0,0,,,,
亳州,108,0,108,0,0,,,,
安庆,83,0,83,0,0,,,,
六安,69,0,69,0,0,,,,
宿州,41,0,41,0,0,,,,
马鞍山,38,0,38,0,0,,,,
芜湖,34,0,34,0,0,,,,
铜陵,29,0,29,0,0,,,,
淮南,27,0,27,0,0,,,,
淮北,27,0,27,0,0,,,,
池州,17,0,17,0,0,,,,
